Municipality,Type,County,Population,Area,Incorporated
Fort Fairfield,Town,Aroostook,"3,322",76.7,1858
Norridgewock,Town,Somerset,"3,278",50.0,1788
Holden,Town,Penobscot,"3,277",31.3,1852
Belgrade,Town,Kennebec,"3,250",43.2,1796
Limerick,Town,York,"3,188",27.1,1787
Bowdoin,Town,Sagadahoc,"3,136",43.5,1788
Newport,Town,Penobscot,"3,133",29.5,1814
Mechanic Falls,Town,Androscoggin,"3,107",11.0,1893
Calais,City,Washington,"3,079",34.3,1809
Alfred,Town,York (seat),"3,073",27.3,1794
Milford,Town,Penobscot,"3,069",45.6,1833
Woolwich,Town,Sagadahoc,"3,068",35.1,1775
Livermore Falls,Town,Androscoggin,"3,060",19.7,1844
Bowdoinham,Town,Sagadahoc,"3,047",34.4,1762
Boothbay,Town,Lincoln,"3,003",21.9,1764
Farmingdale,Town,Kennebec,"2,995",11.2,1852
Levant,Town,Penobscot,"2,940",30.1,1813
Shapleigh,Town,York,"2,921",38.8,1785
Corinth,Town,Penobscot,"2,900",40.3,1811
Pittston,Town,Kennebec,"2,875",32.2,1779
Carmel,Town,Penobscot,"2,867",36.5,1811
Bristol,Town,Lincoln,"2,834",34.0,1765
Blue Hill,Town,Hancock,"2,792",62.5,1789
Chelsea,Town,Kennebec,"2,778",19.5,1851
Mexico,Town,Oxford,"2,756",23.3,1818
Thomaston,Town,Knox,"2,739",10.9,1777
Benton,Town,Kennebec,"2,715",28.4,1842
Acton,Town,York,"2,671",37.7,1830
Searsport,Town,Waldo,"2,649",28.7,1845
Windsor,Town,Kennebec,"2,632",34.7,1809
Readfield,Town,Kennebec,"2,597",29.2,1791
St. George,Town,Knox,"2,594",25.0,1803
Hallowell,City,Kennebec,"2,570",5.9,1771
Jefferson,Town,Lincoln,"2,551",52.6,1807
Bethel,Town,Oxford,"2,504",64.6,1796
Hancock,Town,Hancock,"2,466",30.0,1828
Manchester,Town,Kennebec,"2,456",21.4,1850
Harrison,Town,Cumberland,"2,447",33.1,1805
Whitefield,Town,Lincoln,"2,408",46.8,1809
Union,Town,Knox,"2,383",32.2,1786
Lincolnville,Town,Waldo,"2,312",37.3,1802
Damariscotta,Town,Lincoln,"2,297",12.4,1848
Unity,Town,Waldo,"2,292",39.4,1804
Anson,Town,Somerset,"2,291",47.5,1798
Leeds,Town,Androscoggin,"2,262",40.1,1801
Dixfield,Town,Oxford,"2,253",41.3,1803
Minot,Town,Androscoggin,"2,251",29.6,1802
